doc_id,text,doc_date
11,"Gázellátás: helyreállt a rend
_ F.rdősi C.sara—Df.nf.s Zoltán
T eljesen helyreállt mára hazánk 
gázellátása, amint azt a Gaz- 
prom vezetői megígérték Káka Já­
nos gazdasági miniszternek. A 
helyzet végleges megoldása azon­
ban nem Oroszországon és . Ma­
gyarországon, hanem Oroszorszá­
gon és Ukrajnán múlik, északkeleti 
szomszédunkat ugyanis megfelelő 
infrastruktúra hiányában nem ke­
rülhetik meg az importszállítások.
Bár a napokban volt olyan idő­
szak, amikor a keleti határon a szo­
kásos gázmennyiségnek csupán az 
ötvenhét százaléka érkezett az or­
szágba, komolyabb korlátozásra 
eddig nem került sor. A gáztüzelésű 
erőművek nagy részét ugyanakkor 
kőolaj-tüzelésűre állították át. Az
átállás technikai nehézséget nem 
jelent, s a megoldás révén jelentős 
mennyiségű földgázt tudunk meg­
spórolni, Szaniszló Mihály, az Ipari
Energiafogyasztók Fórumának el­
nöke szerint ugyanakkor a tüzelő­
anyag-váltás megteremtését nem 
ösztönzik megfelelően a hazai jog­
szabályok
Míg Nyugat-Európában 
harminc-negyven százalékkal is ol­
csóbban jut földgázhoz az a nagyfo­
gyasztó, amelyik gondoskodik al­
ternatív tüzelőanyagról, addig ná­
lunk csupán tíz-tizenöt százalékos 
kedvezmény jár. A tüzelőanyag- 
váltással kapcsolatos az a módosító 
indítvány is, amelyet a fideszes De­
ák András készül benyújtani az Or­
szággyűlésnek. A képviselő el­
mondta: azt szeretné elérni, hogy a 
villamosenergia-törvény vonatko­
zó fejezete, amelyet szocialista in­
dítványra a nyáron módosítottak, 
visszanyerje eredeti formáját. Je­
lenleg ugyanis mód van arra, hogy 
ne kelljen fűtőolajat tartalékolnia 
azon erőműnek, amely a „készlet 
folyamatos -  vezetéken keresztül 
történő -  rendelkezésre állásáról 
szerződéssel gondoskodik”, már­
pedig az események tükrében ez 
nem jelent valódi garanciát az ellá­
tásbiztonságra.
B ővebben a 1 1„ vezércikk a 7 . oldalon





",2006-01-03
12,"Kijev lopja a gázt?
H Í R Ö S S Z E F O G L A L Ó
K edd estétől szerződéses mennyiségben szállít gázt 
európai megrendelőinek a Gazprom - jelentette 
be Alekszandr Medvegyev, az orosz energiaipari óriás 
alelnöke tegnap este Moszkvában. A Gazprom növelni 
fogja az Ukrajnán keresztül szállított gáz mennyiségét 
európai fogyasztóinak egy nappal azután, hogy az Uk­
rajnába való gázszállítás leállítása miatt esett a gáznyo­
más Európában - tudatta a Gazprom ukrán partneré­
nek, a Naftogaznak küldött levelében. Az orosz gázipa­
ri óriásvállalat közölte, 95 millió köbméterrel több gáz 
szükséges ahhoz, hogy kompenzálja a vezetékrend­
szerből az Ukrajna által „vételezett” mennyiséget. Uk­
rán illetékesek cáfolták, hogy illegálisan megcsapolnák 
az Európába tartó szállítmányokat - írta az MTI.
Európai elemzők hétfőn azzal vádolták meg Orosz­
országot, hogy visszaél erőfölényével kisebb nyugati 
szomszédjával szemben, megtorolva azt, hogy Ukrajna 
közeledni akar a Nyugathoz. Éppen egy nappal azután 
pedig, hogy Oroszország január 1-jén átvette a G8 
országcsoport soros elnöki tisztségét, egyesek azt is 
megkérdőjelezték, hogy az ország alkalmas annak a 
szervezetnek a vezetésére, amely rajta kívül a világ leg­
inkább iparosodott országaiból áll.


",2006-01-03
13,"Életbe lépő egészségügyi szabályok
H Munkatársunktól
_____
I smét rendelhetnek gyógyszere­
ket kiemelt, azaz 90, illetve 100 
százalékos tb-támogatással a ma­
gánorvosok. Az ezt korlátozó, 2005 
novemberében hozott jogszabály­
módosítás így csak két hónapot élt, 
ugyanannyit, mint az, amely meg­
szüntette az állam kártalanítási kö­
telezettségét a kötelező védőoltá­
soknál. Januártól ez is visszaáll, így 
ha valakit egészségkárosodás ér, 
vagy meghal'a kötelező védőoltás 
miatt, és nem állapítható meg más 
- például az orvos, vagy a vakcina 
gyártójának -  felelőssége, akkor 
kérhető kártalanítás az államtól: 
íme néhány példa arra, hogy mi­
lyen változások lépnek hatályba ja­
nuártól az egészségügyben. Jó tud­
ni azt is, hogy az eddig használt 
E -lll-es formanyomtatvány he­
lyett európai egészségbiztosítási 
kártyával vehetünk igénybe bizo­
nyos egészségügyi szolgáltatásokat 
az EU másik 24 tagországában, il­
letve Norvégiában, Izlandon és 
Liechtensteinben a magyar társa­
dalombiztosító terhére.
A jövőben a gyermekek keve­
sebb szúrással kapják meg a védő­
oltásokat, és az általános iskola be­
fejezéséig az eddigi húsz helyett 
csupán tizenegy oltást kell elvisel­
niük. Ezáltal csökkenthető az oltási 
reakciók száma és a szövődmények 
előfordulásának valószínűsége is. 
A magánorvosok ismét rendelhet­
nek gyógyszereket kiemelt, azaz 90, 
illetve 100 százalékos tb-támo­
gatással.",2006-01-03
14,"Magyar-féle gyorstalpaló
Nem kell általános iskolát végezni a szakiskolai felvételhez
Január 1-jétől számos jogsza­
bályváltozás lépett életbe az
oktatásban. Az egyik módosí­
tás a szakiskolákat érinti:
mostantól már nem szükséges
általános iskolai végbizonyít­
vány a felvételhez.
F arkas M elin d a __________________
A z oktatási törvény módosításai 
tovább erősítik a hátrányos 
helyzetű diákok pozitív diszkrimi­
nációját. A törvénymódosítás értel­
mében a jövőben a szakiskolákban 
lehetőség nyílik arra, hogy olyan 
tanköteles tanulókat is fogadjanak, 
akik nem fejezték be általános isko­
lai tanulmányaikat. Azok a 15. élet­
évüket betöltött diákok, akiknek 
nincs meg a nyolc osztályuk, a 
szakiskola kilencedik évfolyama 
helyett 
felzárkóztató oktatáson 
vesznek részt. Ezután a kilencedik 
és a tizedik osztályt sem kell kijár­
niuk, rögtön -a tizenegyedik és a 
szakmunkásvizsga következik.
[S z a k - . . . ]  F olyta tá s a 2 . o lda lo n >
R é sz letek a 2 . o ldalon

",2006-01-03
15,"Fedőpályázat kétmilliárd forintra
Az influenza A-vírus elleni védekezésre kiírt, kétmilliárd forintos
villámpályázat azért felületes, mert szakmai berkekben mindenki
tudta, miről is van szó - derült ki Boda Miklós szavaiból. A Nemze­
ti Kutatási és Technológiai Hivatal (NKTH) elnöke - bár a kiírásból
ez nem derül ki - madárinfluenzáról beszél. Ez azért érdekes, mert
a kormány korábban kereste a módját, miképpen tudja támogatni
a madárinfluenza kizárólagos gyártóját, az Omninvest Kft.-t.
Otti.ik Judit
Még nincs döntés a december 19.-énkiírt pályázat győzteséről
- közölte Boda Miklós, akit Svédországban értünk utol.",2006-01-03
16,A háború támogatására iraki vallási vezetőket vásárolt meg a Pentagon reklámcége,2006-01-03
17,Fenntarthatatlan a vegyes nyugdíjrendszer - állítják a jegybank szakértői.,2006-01-03
18,"A kilencvenegy éves, Wimbledonban élő író, Határ Győző új könyvéről beszél.",2006-01-03
19,Mégsem szabadulhatnak a vizsgálati fogságból a zimonyi klán tagjai.,2006-01-03
20,"Bejött az egykulcsos adó Szlovákiában
A tervezett deficit felével zárt a 
szlovák költségvetés. A szlo­
vák központi büdzsé hiánya 
tavaly 34 milliárd koronát tett 
ki, ami jócskán elmaradt a 
tervekben szereplő 61,5 mil­
liárdos felső értéktől - érte­
sült a Napi Online. A jelek 
szerint bejött az adórendszer 
egyszerűsítése, egykulcsossá 
tétele, ahol 19 százalék terheli 
a jövedelmeket és a vállalati 
nyereséget is. Az adóbevéte­
lek több mint hat százalékkal, 
222,6 milliárd koronára nőt­
tek, ami bő 10 százalékkal 
múlja felül a tervet. (MN)
",2006-01-03
21,"Megakadt a békefolyamat
Pakisztán azzal vádolta meg In­
diát, hogy beleavatkozik bel- 
ügyeibe, mikor Újdelhi aggo­
dalmát fejezte ki a pakisztáni 
Balosisztán tartományban 
zajló összecsapások miatt.
- Azt tanácsoljuk az indiai 
tisztviselőknek, hogy foglal­
kozzanak saját ügyeikkel - 
nyilatkozta a pakisztáni kül- 
ügymiriisztérium. India 
ugyanakkor úgy vélte, sem­
milyen különös célja nem 
volt a megjegyzéssel, a kül­
ügyminisztérium szóvivője 
mindössze újságírói kérdésre 
válaszolt. Erre reagálva a pa­
kisztáni külügy meghökkené­
sét fejezte ki afölött, hogy In­
dia semmi különöset nem lát 
egy pakisztáni belügy kom­
mentálásában. Egyúttal Isz­
lámábád kifejezte aggodal­
mát, hogy az ilyen indiai lé­
pések gyengíthetik a két or­
szág erőfeszítéseit a közös 
problémák, köztük Kasmír 
ügyének megoldására. (MN)",2006-01-03
22,"Izraeli célzórendszer a Gripenekre
AGripenek lézerirányítású bombáit
vezeti célra a Litening-konténer
_ Zord Gábor Lászó
A magyar védelmi minisztéri­
um úgy döntött, hogy az izra­
eli Rafael cég Litening infravörös 
célmegjelölő és navigációs konté­
nerével szereli fel Gripen repülő­
gépeit 11 millió dollár (mintegy 
két és fél milliárd forint) értékben 
- írta az izraeli Globes hírportál. A 
berendezések beszerzése azóta 
van a Honvédelmi Minisztérium 
napirendjén, hogy a Medgyessy- 
kormány 2003 elején úgy döntött: 
az Orbán-kabinet által elsősorban 
légvédelmi 
szánt 
Gripenek helyett olyan változatot 
szerez be, melyek légi utántölthe- 
tőségük és precíziós fegyverzetük 
(lézerirányítású bombáik) révén 
alkalmasak expedíciós műveletek­
ben való részvételre.
feladatokra 
Lapunk kérdésére a honvédel­
mi miniszter főtanácsadója meg­
erősítette, hogy a célzókonténerek 
beszerzési folyamata az év végén 
végső stádiumba jutott.
[Izra eli. . . ]  F olyta tá s a 2 . o ld a lo n >",2006-01-04
23,"Gáz van, késik a stratégia
Még m indig nem készült el az ország energiafüggőségét csökkentő program
Jóllehet tegnap helyreállt az or­
szág földgázellátása, a válság
idehaza világossá tette, hazánk
mekkora mértékben függ a kül­
földi energiahordozóktól. A
kormány energiastratégiát sür­
get, miközben azt már másfél
éve el kellett volna készítenie.
M u n k a t á r s a i n k t ó l _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
T örékeny a béke a hazai gáz­
fronton, hiszen ingadozik a 
nyomás, és az orosz-ukrán konf­
liktusban egyelőre nem körvonala­
zódik semmiféle megállapodás. Az 
utóbbi napok mindenki számára 
világossá tették, mennyire kiszol­
gáltatott helyzetben van Magyaror­
szág az energiaellátás biztonsága 
szempontjából. Teljes importigé­
nyünk az összfogyasztás nyolcvan 
százalékát teszi ki, ennek kilencven 
százaléka Oroszországon és Ukraj­
nán át érkezik. A hazai kitermelés 
csak a fogyasztás húsz százalékát 
adja, földgázmezőink kimerülőben
Rozsét szállító asszony egy ukrajnai benzinkút előtt. A Gazprom gázlopássá! vádolja Kijevet 
fotó: reuters/gleb garanich
vannak. A Mól Rt. elnök-vezérigaz­
gatója úgy látja, Magyarország a 
térség legkiszolgáltatottabb álla­
ma. Hernádi Zsolt szerint az orosz 
függés csökkentéséhez új vezetékre 
lenne szükség, emellett bővíteni
kellene a 
tárolókapacitásokat. 
Ugyancsak elengedhetetlen volna 
hazánk középtávú energiastraté­
giájának megalkotása. Gyurcsány
Ferenc tegnap a munka felgyorsítá­
sát kérte. Ugyanakkor arról nem
esett szó, hogy a dokumentumot 
már másfél esztendeje el kellett 
volna készítenie a kormánynak, 
ám az végső formáját azóta sem 
nyerte el.
T o v ábbiak a 10. és a 11. oldalon",2006-01-04
24,"Brüsszelben folytatódik a Gazprom vitája
H Í R Ö S S Z E F O G L A L Ó
B ár az európai fogyasztók a 
szállítások normalizálódásá­
ról számoltak be, nem csökkent a 
feszültség Oroszország és Ukrajna 
között. A Gazprom ismét gázlopás­
sal vádolta meg Kijevet, míg az uk­
rán külügyminiszter-helyettes a bi­
rodalmak szétesésére emlékeztette 
Moszkvát. (A cég szóvivője - pon­
tosítva a korábbi adatokat - azt ál­
lította, hogy Ukrajna 118,7 millió 
köbméter földgázt szivattyúzott ki 
illegálisan a területén átfutó csőve­
zetékből, megdézsmálva a más eu-
rópai országoknak szánt orosz gáz­
szállítmányt. Ukrán részről vissza­
utasítják e vádakat.) A gázvitában 
mindkét ország az Európai Unió­
hoz fordult. Brüsszel ma foglalko­
zik a válsággal.
A szállítások rendeződése mi­
att mérséklődtek a földgázárak
tegnap a nemzetközi szabadpia­
con. New Yorkban, Londonban 
ugyanakkor a vita keltette bizony­
talanság miatt az olaj drágulása 
megközelítette a hordónkénti két 
dollárt.
[M o sz k v a . . . ]
F o l y t a t á sa  11. oldalon >",2006-01-04
25,"Duplán bűnhődhetnek, akik akár csak segítőként is részt vettek maffiaügyekben.",2006-01-04
26,"Ingyenes Népszabadság a tanároknak
___ F a r k a s  M e l i n d a _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
• •Ö tezer darab egy hónapos, in­
gyenes Népszabadság-előfize­
tést sorsolt ki a Pedagógusok Szak- 
szervezetének (PSZ) tagjai között a 
szervezet tagkártyáit működtető 
Magyar Kamarákért Szövetség. A 
PSZ azt állítja, hogy nincs közük a 
megrendeléshez, de a szervezet al- 
elnöke a tagoknak küldött körleve­
lében arra buzdította a pedagógu­
sokat, hogy az ajándék előfizetés le­
telte után rendeljék meg a lapot.
A Népszabadság példányszáma 
-  ez a hivatalos statisztikákból ol­
vasható ki -  az utóbbi időben 
jelentősen csökkent.
„A PSZ-tagkártyához kapcsoló­
dó kedvezményrendszer keretében 
a Magyar Kamarákért Szövetség 
(Makasz) egy hónapos ajándék 
Népszabadság-előfizetést nyújt át 
Önnek január 2. és 31. közötti idő­
tartamra. Kezdeményezésünkkel 
szeretnénk a PSZ tagjainak figyel­
mébe ajánlani hazánk legnagyobb 
példányszámú napilapját” -  áll az 
Árok Antal szakszervezeti alelnök 
által a tagoknak küldött körlevél­
ben. Árok hozzáteszi: tárgyalnak a 
Népszabadság kiadójával arról, 
hogy az ingyenes időszak letelte 
után a szakszervezeti tagok ked­
vezményesen fizethessenek elő a 
lapra. A Makasz egyébként a Nép­
szavára is kedvezményes előfize­
tést kínál, ám listáján jobboldali­
nak tartott lap még mutatóban sem 
szerepel.
[I n g y e n e s. . . ]  F olytatás a 3. oldalon >",2006-01-04
27,"Mladics ismét színre lépne
Draskovics: A bűnösök védelmezőik hatalomra jutására várnak
Háborús bűnösök portréival illusztrált naptárak egy szerbiai árusnál. Visszatérésükre várnak? 
S e b e s t y é.n  I m r e  ( Ú i v i d é k )________
V édik, támogatják, és rejtegetik 
a volt Milosevics-rezsim poli­
tikai erői a háborús bűncselekmé­
nyekkel vádolt személyeket -  nyi­
latkozta a FoNet hírügynökségnek 
maga Vük Draskovics szerb külügy­
miniszter, aki nem kevesebbet állí­
tott, mint hogy azok a vádlottakat
terhelő okmányok, amelyeket a há­
gai törvényszék hiába kér Belgrád- 
tól, már mind megvannak, csak ép­
pen a Scheveningenben lévő Milo-
sevicsnél. Nyilvánvaló tehát, ki áll a 
vádlottak mögött. A nemzetközi 
igazságszolgáltatás elől rejtőzködők 
csak azt várják, hogy ezek az erők - 
Draskovics a szocialistákra és a ra­
dikálisokra utal - hatalomra jussa­
nak, hogy a nyilvánosság elé lép­
hessenek a médiumok jóvoltából, 
és újra tüntetéseket szervezhesse­
nek Szerbiában.
A szocialisták már jelenleg is 
számottevő politikai befolyást gya­
korolnak, hiszen ellenzékből támo­
gatják Kostunica kisebbségi kor­
mányát.
[M é g . . . ]  Folytatás a 9. oldalon >",2006-01-04
28,Pozitív fogadtatásra talált a katolikus püspöki konferencia körlevele.,2006-01-04
29,"Vezetés nélkül a magyar labdarúgás
M u n k a t á r s u n k t ó l _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
M űködésképtelenné vált teg­
nap a Magyar Labdarúgó­
szövetség (MLSZ) elnöksége, miu­
tán Horváth Cs. Attila és Nemes Fe­
renc is lemondott a testületben ed­
dig betöltött tagságáról. Ezáltal az 
MLSZ működése is ellehetetlenült. 
Az elnökség létszáma a december 
21-i rendkívüli közgyűlésen fogyat­
kozott meg drasztikusan, akkor a 
hat profi delegáltból öt lemondott. 
A szövetség alapszabálya értelmé­
ben az elnökség mandátumának 
megszűnésével egy időben az elnök, 
azaz Bozóky Imre is elveszti mandá­
tumát. „Ami ma történt, az bűntett
a magyar futball ellen” - szögezte le 
a történtek után a szűkszavúan nyi­
latkozó Bozóky, aki 1999. szeptem­
ber 25-e óta tölti be a posztját. Az 
MLSZ elnöke szerint a kialakult 
helyzetben komoly veszélybe került 
a 2012-es magyar-horvat, közös 
rendezésű Eb-pályázat. Kisteleki Ist­
ván, a puccsot megszervező, és so­
kadik nekifutásra végül sikerre vivő 
Magyar Labdarúgóliga elnöke úgy 
véli, a január 20-i közgyűlésig Berzi
Sándor MLSZ-főtitkárnak kell irá­
nyítania a szövetség munkáját. 
Berzi szerint viszont akár ügyvezető 
elnökség is felállhatna az elnökség­
ben megmaradt tagokkal.
Részletek a 20. oldalon",2006-01-04
30,"Megbukott a kormány nemzeti vízuma, az úgynevezett „görögigazolvány"".",2006-01-04
31,"Csődtől tartanak az autókereskedők, 40 ezer gépkocsit vettek vissza a bankok.",2006-01-04
32,"HELYREIGAZÍTÁS
Lapunk 2005. augusztus 26-i számában, a Tetemes és fölösleges siker­
díj tanácsadásra című cikkben
-  valótlanul állítottuk, hogy a Fővárosi Főpolgármesteri Hivatal és 
a dr.  Patay Géza ügyvéd között 2005-ben létrejött megbízási szerző­
désben sikerdíj szerepelt volna;
-  valótlanul állítottuk, hogy a megbízás kizárólag a csepeli szenny­
víztisztító közbeszerzési eljárásainak véleményezésére irányulna.",2006-01-04
33,"Rejtélyes vád
Egy harmadik európai uniós or­
szágban is léteznek titkos fog­
va tartási helyek, ahol az ame­
rikai Központi Hírszerző Ügy­
nökség terrorizmussal gyanú­
sított személyeket őriz - közöl­
te a Humán Rights Watch 
(HRW) nemzetközi jogvédő 
szervezet illetékese. Lőtte 
Leicht brüsszeli irodavezető 
elmondta: a HRW azon van, 
hogy váratlan látogatást tegyen 
a kérdéses helyen. Azt nem 
volt hajlandó felfedni, melyik 
országról van szó. (MTI)",2006-01-05
34,"Megszűnő munkahelyek
Fizetésképtelenség miatt önmaga 
ellen kezdeményezett felszá­
molást az MSC Hungary Kft. 
cipőipari vállalat. Megszűnik a 
szombathelyi és az őriszent - 
péteri telephely, ezzel több 
mint 200 ember veszíti el a 
munkahelyét. Valószínű, hogy 
az Őrségben teljesen leáll a ter­
melés. Ismeretes: 2003 júniu­
sában az MSC Hungary Kft. 
Marc cipőfelsőrész-készítő len­
ti üzemének százhatvan dolgo­
zója kapta meg a felmondóle­
velét. A cég szeptemberben be­
zárta 595 fős körmendi üze­
mét, emellett szombathelyi 
gyárának létszámát 50 dolgo­
zóval csökkentette. (T. G.)",2006-01-05
35,"Régi-új elnök
Harsányi Lászlót nevezte ki a janu­
ár elsejével független állami 
pénzalappá visszaalakult Nem­
zeti Kulturális Alap elnökévé 
Bozóki András kulturális mi­
niszter. Harsányi - aki 2002 
júliusa óta vezette a Nemzeti 
Kulturális Alapprogramot - 
kinevezése 2009. december 
31-ig szól. (MTI)",2006-01-05
