token;ner
védõ;O
rendõröket;O
és;O
törjék;O
át;O
a;O
kerítést;O
.;O
;
Egyébként;O
a;O
bíróság;O
ezen;O
végzése;O
ellen;O
egy;O
másik;O
ilyen;O
ügynökszervezet;O
,;O
a;O
MigSzol;I-ORG
szervezett;O
tüntetést;O
az;O
ítéletet;O
követõen;O
.;O
;
A;O
MigSzol;I-ORG
egyébként;O
egyértelmûen;O
Soros;I-PER
György;I-PER
bevándorlást;O
támogató;O
hálózatának;O
az;O
egyik;O
tagja;O
,;O
akiknek;O
egyébként;O
a;O
gazdálkodásáról;O
és;O
mûködésérõl;O
szóló;O
információk;O
nem;O
átláthatóak;O
.;O
;
Annyi;O
mindenesetre;O
biztos;O
,;O
hogy;O
a;O
saját;O
maga;O
által;O
közzétett;O
tájékoztató;O
anyagaiban;O
együttmûködõ;O
partnerként;O
a;O
Soros-hálózat;O
szinte;O
minden;O
tagja;O
szerepel;O
.;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
Láthattuk;O
,;O
hogy;O
Soros;I-PER
György;I-PER
határokon;O
átnyúló;O
birodalma;O
elér;O
Magyarországra;I-LOC
is;O
,;O
és;O
számos;O
,;O
magukat;O
civilnek;O
mondó;O
szervezet;O
kap;O
pénzt;O
azért;O
,;O
hogy;O
százezerszám;O
szállítsák;O
Európában;I-LOC
a;O
migránsokat;O
.;O
;
Teszik;O
ezt;O
annak;O
ellenére;O
,;O
tisztelt;O
képviselõtársaim;O
,;O
hogy;O
a;O
polgárok;O
az;O
októberi;O
népszavazáson;O
egyértelmûen;O
kifejezték;O
azon;O
szándékukat;O
,;O
hogy;O
ezt;O
nem;O
szeretnék;O
.;O
;
Ezek;O
a;O
szervezetek;O
tehát;O
rendszeresen;O
támadják;O
hazánkat;O
,;O
például;O
a;O
kormány;O
határvédelmi;O
és;O
terrorellenes;O
intézkedéseit;O
,;O
a;O
bevándorlási;O
szabályok;O
szigorítását;O
.;O
;
Õk;O
Ahmed;I-PER
H.;O
oldalán;O
állnak;O
,;O
mi;O
meg;O
a;O
magyar;O
emberek;O
oldalán;O
.;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
Nem;O
véletlen;O
,;O
hogy;O
alig;O
kezdõdött;O
el;O
a;O
Magyar;I-ORG
Országgyûlésben;I-ORG
a;O
vita;O
a;O
jogi;O
határzár;O
megerõsítésérõl;O
,;O
a;O
bevándorláspárti;O
szervezetek;O
újult;O
erõvel;O
kezdték;O
meg;O
Magyarország;I-LOC
támadását;O
.;O
;
Ne;O
csodálkozzunk;O
,;O
ez;O
nem;O
meglepõ;O
,;O
hiszen;O
ezek;O
a;O
szervezetek;O
kezdettõl;O
fogva;O
támadták;O
a;O
határzár;O
megépítését;O
,;O
a;O
bevándorlási;O
és;O
a;O
terrorellenes;O
szabályok;O
szigorítását;O
.;O
;
És;O
most;O
is;O
ezt;O
teszik;O
:;O
támadják;O
,;O
és;O
Brüsszelben;I-LOC
ismételten;O
,;O
úgymond;O
feljelentik;O
Magyarországot;I-LOC
.;O
;
Tisztelt;O
Államtitkár;O
Úr;O
!;O
;
Éppen;O
ezért;O
minden;O
állampolgárnak;O
,;O
úgy;O
hiszem;O
,;O
joga;O
van;O
tudni;O
,;O
hogy;O
melyek;O
azok;O
a;O
politikai;O
tevékenységet;O
végzõ;O
ügynökszervezetek;O
,;O
amelyek;O
külföldi;O
forrásból;O
mûködnek;O
,;O
és;O
azt;O
is;O
,;O
hogy;O
mekkora;O
támogatást;O
kapnak;O
.;O
;
Úgy;O
vélem;O
,;O
mindnyájunk;O
közös;O
érdeke;O
az;O
,;O
tisztelt;O
képviselõtársaim;O
,;O
hogy;O
elejét;O
vegyük;O
az;O
átláthatatlan;O
külföldi;O
befolyásolási;O
kísérleteknek;O
,;O
és;O
meg;O
kell;O
védenünk;O
tõlük;O
a;O
magyar;O
embereket;O
.;O
;
Köszönöm;O
,;O
hogy;O
meghallgattak;O
.;O
(;O
Taps;O
a;O
kormánypártok;O
soraiból;O
.;O
);O
;
DR;O
.;O
;
TÓTH;I-PER
BERTALAN;I-PER
(;O
MSZP;I-ORG
);O
:;O
Köszönöm;O
a;O
szót;O
,;O
elnök;O
úr;O
.;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
Tisztelt;I-PER
Ház;I-PER
!;O
;
Miért;O
van;O
az;O
,;O
hogy;O
Magyarországon;I-LOC
a;O
lakosság;O
10;O
százaléka;O
nem;O
tudja;O
rendesen;O
fûteni;O
a;O
lakását;O
?;O
;
Miért;O
van;O
az;O
,;O
hogy;O
rengeteg;O
ingatlanban;O
nincsen;O
fürdõ;O
,;O
nincsen;O
vécé;O
,;O
azonban;O
a;O
tetõ;O
beázik;O
?;O
;
Miért;O
van;O
az;O
,;O
hogy;O
minden;O
ötödik;O
magyarnak;O
van;O
lakbér;O
-;O
és;O
rezsitartozása;O
?;O
;
Miért;O
van;O
az;O
,;O
hogy;O
Magyarország;I-LOC
a;O
negyedik;O
legrosszabb;O
lakáshelyzet;O
tekintetében;O
az;O
Európai;I-ORG
Unión;I-ORG
belül;O
?;O
;
Miért;O
van;O
az;O
,;O
hogy;O
az;O
elmúlt;O
tél;O
kezdete;O
óta;O
több;O
mint;O
106;O
ezer;O
háztartásban;O
szünetel;O
díjtartozás;O
miatt;O
az;O
áram;O
-;O
,;O
a;O
gáz;O
-;O
vagy;O
a;O
távhõszolgáltatás;O
?;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
A;O
válasz;O
teljesen;O
egyszerû;O
:;O
a;O
magyar;O
emberek;O
több;O
mint;O
fele;O
összességében;O
kevesebb;O
pénzbõl;O
gazdálkodik;O
,;O
mint;O
2010-ben;O
,;O
mert;O
az;O
urizáló;O
fideszes;O
elit;O
kormányzása;O
alatt;O
tovább;O
növekedtek;O
a;O
társadalmi;O
egyenlõtlenségek;O
,;O
és;O
tovább;O
növekedett;O
a;O
vagyoni;O
különbség;O
.;O
;
Ez;O
az;O
emberek;O
túlnyomó;O
többségének;O
rossz;O
,;O
de;O
a;O
kiválasztottaknak;O
,;O
az;O
urizáló;O
fideszeseknek;O
,;O
„;O
Pénztáros;O
	O;
Lõrinceknek;I-LOC
,;O
Garancsiknak;I-LOC
,;O
Rogánoknak;I-PER
azonban;O
jó;O
.;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
A;O
Fidesz;I-ORG
azért;O
tartja;O
az;O
indokoltnál;O
magasabbnak;O
az;O
energiaárakat;O
,;O
mert;O
azon;O
egyesek;O
nyerészkedhetnek;O
.;O
;
Ezért;O
szavazták;O
le;O
hat;O
alkalommal;O
az;O
energiaár-csökkentésre;O
vonatkozó;O
javaslatainkat;O
.;O
;
És;O
kik;O
azok;O
,;O
akik;O
ezen;O
nyerészkednek;O
?;O
;
Emlékezhetünk;O
az;O
ominózus;O
gáz-offshore;O
botrányra;O
,;O
a;O
MET;I-ORG
és;O
a;O
METI;I-ORG
ügyére;O
,;O
ahol;O
10;O
százaléknyi;O
gázárcsökkentést;O
loptak;O
el;O
.;O
;
Ez;O
volt;O
az;O
az;O
ügyletsorozat;O
,;O
ahol;O
közel;O
100-150;O
milliárd;O
forint;O
került;O
az;O
államtól;O
offshore;O
cégeken;O
keresztül;O
Orbán;I-PER
Viktor;I-PER
kötélbarátjához;O
.;O
;
Ez;O
az;O
az;O
ügylet;O
,;O
ami;O
még;O
ma;O
is;O
folytatódna;O
,;O
ha;O
a;O
tényfeltáró;O
újságírókkal;O
és;O
civil;O
szervezetekkel;O
együtt;O
közösen;O
nem;O
leplezzük;O
le;O
azt;O
.;O
;
Önök;O
most;O
például;O
a;O
civileket;O
támadják;O
.;O
;
De;O
ide;O
lehet;O
sorolni;O
a;O
nyerészkedés;O
körébe;O
az;O
Orbán-Putyin-paktumot;I-ORG
,;O
amelynek;O
a;O
Fideszhez;I-ORG
közel;O
álló;O
oligarchák;O
rendkívüli;O
módon;O
örülnek;O
,;O
illetve;O
az;O
orosz;O
állam;O
,;O
hiszen;O
õk;O
nyújtják;O
majd;O
a;O
hitelt;O
.;O
;
Azonban;O
az;O
áram;O
drágább;O
lesz;O
,;O
a;O
beruházás;O
nem;O
fog;O
megtérülni;O
,;O
de;O
legalább;O
évtizedekre;O
eladósítják;O
Magyarországot;I-LOC
,;O
és;O
kiszolgáltatják;O
Oroszországnak;I-LOC
.;O
;
Ezért;O
mondjuk;O
azt;O
,;O
hogy;O
széles;O
körû;O
társadalmi;O
vita;O
után;O
népszavazással;O
kell;O
dönteni;O
az;O
erõmû;O
kérdésében;O
.;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
Ha;O
már;O
a;O
nyerészkedésnél;O
tartunk;O
,;O
akkor;O
nem;O
mehetünk;O
el;O
szó;O
nélkül;O
a;O
Fidesz;I-ORG
által;O
helyzetbe;O
hozott;O
Hunguard;I-ORG
Kft.;I-ORG
ügye;O
mellett;O
,;O
amely;O
úgynevezett;O
auditálási;O
tevékenységet;O
végez;O
magyar;O
közszolgáltató;O
cégeknél;O
.;O
;
Ez;O
az;O
a;O
tanúsítási;O
tevékenység;O
,;O
amelyrõl;O
a;O
fideszes;O
önkormányzatok;O
által;O
tulajdonolt;O
közmûvállalatok;O
vezetõi;O
is;O
azt;O
mondják;O
,;O
hogy;O
teljesen;O
felesleges;O
,;O
és;O
még;O
jó;O
drága;O
is;O
.;O
;
Ez;O
az;O
a;O
tanúsítási;O
tevékenység;O
,;O
amelybõl;O
több;O
milliárd;O
forintot;O
zsebelt;O
be;O
a;O
Hunguard;I-ORG
Kft.;I-ORG
,;O
54;O
százalékos;O
haszonkulccsal;O
dolgozva;O
,;O
600;O
millió;O
forintot;O
szedett;O
le;O
az;O
állami;O
vagy;O
önkormányzati;O
tulajdonban;O
lévõ;O
közszolgáltató;O
cégektõl;O
.;O
;
Ezt;O
mindannyiunktól;O
szedte;O
be;O
,;O
minden;O
magyar;O
fogyasztótól;O
.;O
;
És;O
ez;O
az;O
a;O
tanúsítási;O
tevékenység;O
,;O
amely;O
során;O
nem;O
zárható;O
ki;O
,;O
hogy;O
bármely;O
érzékeny;O
üzleti;O
információhoz;O
vagy;O
ügyféladathoz;O
hozzáférhet;O
ez;O
a;O
cég;O
.;O
;
És;O
ez;O
az;O
a;O
cég;O
,;O
amely;O
korábban;O
Rogán;I-PER
Antal;I-PER
feltalálótársáé;O
volt;O
,;O
most;O
pedig;O
kézen-közön;O
egy;O
offshore;O
hátterû;O
cég;O
tulajdonába;O
került;O
.;O
;
Ugye;O
,;O
ez;O
az;O
a;O
ciprusi;O
cég;O
,;O
amelynek;O
ügyvezetõje;O
Christos;I-PER
Kinanis;I-PER
,;O
az;O
a;O
botrányos;O
üzletember;O
,;O
aki;O
a;O
panamai;O
offshore;O
iratokban;O
is;O
szerepelt;O
.;O
;
A;O
valós;O
tulajdonos;O
ismeretlen;O
,;O
de;O
talán;O
önök;O
tudják;O
";";O
mondják;O
meg;O
,;O
ha;O
így;O
van;O
.;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
A;O
szocialisták;O
mindenki;O
számára;O
elérhetõvé;O
kívánják;O
tenni;O
a;O
biztos;O
és;O
tisz­tes;O
megélhetést;O
.;O
;
Ezért;O
támogattunk;O
korábban;O
min­den;O
ármérséklõ;O
javaslatot;O
,;O
és;O
ezért;O
javasoljuk;O
,;O
hogy;O
továbbra;O
is;O
történjen;O
meg;O
az;O
energiaárak;O
csökkentése;O
,;O
hiszen;O
a;O
nemzetközi;O
piacon;O
olcsóbb;O
az;O
ener­gia;O
,;O
a;O
magyar;O
emberek;O
pedig;O
ugyanannyit;O
fizetnek;O
.;O
;
(;O
13.okt;O
);O
És;O
legalább;O
az;O
energiatakarékossági;O
világnapon;O
(;O
Zaj;O
a;O
kormánypárti;O
padsorokban;O
.;O
;
);O
tegyük;O
egyértelmûvé;O
,;O
hogy;O
az;O
emberek;O
energiatakarékosságát;O
nem;O
a;O
szolgáltatások;O
elérhetetlenné;O
tételével;O
kell;O
elõsegíteni;O
,;O
ahogy;O
azt;O
a;O
Fidesz;I-ORG
teszi;O
,;O
hanem;O
hatékony;O
megoldások;O
támogatásával;O
,;O
épületfelújítással;O
,;O
ahogyan;O
mi;O
javasoljuk;O
";";O
a;O
nyerészkedõ;O
piócákat;O
pedig;O
el;O
kell;O
távolítani;O
a;O
magyar;O
közszolgáltató;O
cégektõl;O
.;O
;
Ideje;O
rendet;O
tenni;O
a;O
közmûszolgáltatások;O
rendszerében;O
,;O
a;O
közmûszektorban;O
.;O
;
Kérem;O
,;O
hogy;O
támogassák;O
azokat;O
a;O
javaslatainkat;O
,;O
amelyek;O
erre;O
irányulnak;O
közös;O
jövõnként;O
,;O
Magyarországért;I-LOC
.;O
Köszönöm;I-ORG
,;O
hogy;O
meghallgattak;O
.;O
;
(;O
Taps;O
az;O
MSZP;I-ORG
padsoraiban;O
.;O
);O
;
DR;O
.;O
;
SZÉL;I-PER
BERNADETT;I-PER
(;O
LMP;I-ORG
);O
:;O
Köszönöm;O
a;O
szót;O
,;O
elnök;O
úr;O
.;O
;
Tisztelt;O
Országgyûlés;I-ORG
!;O
;
Le;O
kell;O
szögeznem;O
,;O
hogy;O
a;O
paksi;O
bõvítés;O
Magyarország;I-LOC
következõ;O
évtizedeinek;O
a;O
lehetõ;O
legfontosabb;O
kérdése;O
.;O
;
Ezzel;O
kapcsolatban;O
két;O
katasztrofális;O
hibát;O
lehet;O
elkövetni;O
.;O
;
Az;O
egyik;O
hiba;O
az;O
,;O
hogy;O
ha;O
az;O
atomenergia;O
arányát;O
fenntartjuk;O
,;O
sõt;O
növeljük;O
ebben;O
az;O
országban;O
,;O
a;O
másik;O
katasztrofális;O
hibalehetõség;O
pedig;O
az;O
,;O
ha;O
mindezt;O
hitelbõl;O
tesszük;O
.;O
;
A;O
Lehet;I-ORG
Más;I-ORG
a;I-ORG
Politika;I-ORG
tiltakozott;O
a;O
parlamentben;O
,;O
tiltakoztunk;O
az;O
utcán;O
,;O
kértük;O
a;O
jövõ;O
nemzedékekért;O
és;O
a;O
fenntarthatóságért;O
állítólag;O
oly;O
elkötelezett;O
államfõt;O
,;O
hogy;O
avatkozzon;O
közbe;O
,;O
de;O
láthatóan;O
a;O
politikusok;O
között;O
nekünk;O
nincsenek;O
szövetségeseink;O
.;O
;
Mindazonáltal;O
a;O
Lehet;I-ORG
Más;I-ORG
a;I-ORG
Politika;I-ORG
teljesen;O
eltökélt;O
,;O
meg;O
fogjuk;O
védeni;O
Magyarországot;I-LOC
ettõl;O
a;O
teljesen;O
katasztrofális;O
lépésétõl;O
.;O
;
Tisztában;O
vagyunk;O
vele;O
,;O
hogy;O
egy;O
roppant;O
erejû;O
szövetséggel;O
állunk;O
szemben;O
.;O
;
Ott;O
van;O
Orbán;I-PER
Viktor;I-PER
kormánya;O
,;O
a;O
nemzetközi;O
atomlobbi;O
,;O
ott;O
van;O
Moszkva;I-LOC
Vlagyimir;O
Putyinnal;I-PER
,;O
és;O
most;O
már;O
ott;O
van;O
Brüsszel;I-LOC
is;O
.;O
;
Így;O
együtt;O
hoztak;O
létre;O
egy;O
olyan;O
koalíciót;O
,;O
amellyel;O
szemben;O
áll;O
a;O
józan;O
ész;O
és;O
szemben;O
áll;O
a;O
magyar;O
nemzeti;O
érdek;O
.;O
;
Önök;O
egy;O
teljesen;O
mocskos;O
üzletet;O
hoztak;O
létre;O
a;O
paksi;O
bõvítéssel;O
,;O
amelynek;O
segítségével;O
Magyarország;I-LOC
életét;O
,;O
a;O
gyerekeink;O
,;O
az;O
unokáink;O
és;O
a;O
dédunokáink;O
életét;O
hozzá;O
akarják;O
láncolni;O
az;O
atomlobbihoz;O
.;O
;
És;O
ettõl;O
sokan;O
e;O
teremben;O
és;O
e;O
termen;O
kívül;O
is;O
,;O
azok;O
,;O
akik;O
önök;O
mögött;O
állnak;O
és;O
a;O
számlát;O
benyújtják;O
,;O
busás;O
gazdasági;O
hasznot;O
remélnek;O
.;O
;
Csakhogy;O
a;O
Budapest;I-LOC
és;O
Paks;I-LOC
felett;O
héjaként;O
körözõ;O
atomlobbi;O
,;O
ideértve;O
Orbán;I-PER
Viktor;I-PER
kormányát;O
is;O
,;O
elfelejtett;O
egyvalamit;O
.;O
;
Elfelejtette;O
megkérdezni;O
a;O
magyar;O
embereket;O
arról;O
,;O
hogy;O
ezzel;O
a;O
kérdéssel;O
kapcsolatban;O
mi;O
az;O
álláspontjuk;O
.;O
;
De;O
elfelejtette;O
megkérdezni;O
a;O
politikusokat;O
is;O
,;O
mert;O
nem;O
volt;O
politikai;O
vita;O
ebben;O
az;O
országban;O
errõl;O
a;O
kérdésrõl;O
,;O
és;O
elfelejtette;O
megkérdezni;O
azokat;O
a;O
szakértõket;O
is;O
,;O
akiket;O
az;O
elmúlt;O
27;O
évben;O
senki;O
nem;O
hallgatott;O
meg;O
a;O
magyar;O
parlamentben;O
.;O
;
De;O
elfeledkeznek;O
2008-ról;O
is;O
,;O
de;O
én;O
ezt;O
nem;O
fogom;O
elfelejteni;O
.;O
;
Önök;O
a;O
Gyurcsány-kormánnyal;O
azon;O
vitatkoztak;O
,;O
hogy;O
van-e;O
joguk;O
a;O
magyar;O
embereknek;O
megálljt;O
parancsolni;O
népszavazással;O
az;O
akkori;O
kormányérdeknek;O
.;O
;
Most;O
úgy;O
tesznek;O
,;O
mintha;O
Paks;I-PER
kérdésében;O
a;O
magyar;O
embereknek;O
semmi;O
keresnivalójuk;O
nem;O
lenne;O
.;O
;
Ráadásul;O
különös;O
módon;O
és;O
gyorsan;O
vesztette;O
el;O
az;O
Orbán-kormány;O
a;O
bizalmát;O
a;O
magyar;O
emberekben;O
.;O
;
Pár;O
hónapja;O
itt;O
még;O
minden;O
a;O
népszavazásról;O
szólt;O
,;O
és;O
utána;O
hirtelen;O
,;O
most;O
,;O
hogy;O
nyilvánvaló;O
esély;O
nyílt;O
arra;O
,;O
hogy;O
a;O
népszavazás;O
meg;O
tudná;O
akadályozni;O
az;O
Orbán-kormány;O
gaztettét;O
,;O
valamint;O
Vlagyimir;I-PER
Putyinnak;I-PER
,;O
Orbán;I-PER
Viktornak;I-PER
,;O
Brüsszelnek;I-LOC
és;O
még;O
ki;O
tudja;O
kinek;O
a;O
piszkos;O
kis;O
üzletét;O
,;O
Magyarország;I-LOC
eladósítását;O
,;O
az;O
Orbán-kormány;O
hirtelen;O
elvesztette;O
a;O
bizalmat;O
a;O
magyar;O
emberekben;O
.;O
;
Teljesen;O
egyértelmû;O
itt;O
a;O
képlet;O
:;O
minél;O
nagyobb;O
egy;O
ügy;O
jelentõsége;O
,;O
annál;O
kisebb;O
beleszólása;O
lehet;O
a;O
Fidesz;I-ORG
elképzelése;O
szerint;O
mindebbe;O
a;O
magyar;O
embereknek;O
.;O
;
Egyébként;O
ez;O
egy;O
teljesen;O
világos;O
üzenet;O
az;O
önök;O
gazdájának;O
,;O
az;O
atomlobbinak;O
,;O
amelyet;O
önök;O
kiválóan;O
kiszolgálnak;O
,;O
és;O
ez;O
biztosan;O
tetszik;O
is;O
nekik;O
.;O
;
Csakhogy;O
,;O
tisztelt;O
Országgyûlés;I-ORG
,;O
itt;O
egy;O
vízválasztóhoz;O
érkeztünk;O
.;O
;
A;O
paksi;O
bõvítés;O
kérdése;O
vízválasztó;O
minden;O
magyar;O
politikai;O
erõnek;O
,;O
minden;O
magyar;O
politikusnak;O
is;O
.;O
;
Teljesen;O
világosan;O
tesz;O
azok;O
között;O
(;O
sic;O
!;O
);O
,;O
akik;O
felismerték;O
,;O
hogy;O
itt;O
egy;O
õrültséggel;O
állunk;O
szemben;O
,;O
õrültség;O
Magyarországot;I-LOC
újabb;O
évtizedekre;O
az;O
atomenergiához;O
láncolni;O
,;O
és;O
azok;O
között;O
,;O
akik;O
felismerték;O
,;O
hogy;O
még;O
mindig;O
a;O
múltban;O
élnek;O
.;O
;
Az;O
atomenergia;O
alapvetõen;O
egy;O
XX;O
.;O
századi;O
eszköz;O
,;O
iszonyatosan;O
kockázatos;O
,;O
nagyon;O
drága;O
,;O
és;O
csak;O
egy;O
nagyon;O
nehezen;O
helyrehozható;O
hiba;O
,;O
ha;O
bármi;O
félremegy;O
,;O
akkor;O
mindannyian;O
ott;O
halunk;O
meg;O
.;O
;
A;O
paksi;O
népszavazás;O
politikai;O
értelemben;O
errõl;O
szól;O
.;O
;
Különbséget;O
tesz;O
korrupt;O
és;O
múltban;O
ragadt;O
erõk;O
között;O
,;O
és;O
különbséget;O
tesz;O
olyan;O
erõk;O
között;O
,;O
akik;O
tiszta;O
ügyekben;O
bíznak;O
és;O
tiszta;O
energiát;O
akarnak;O
.;O
;
E;O
között;O
a;O
két;O
politikai;O
erõ;O
között;O
kell;O
dönteniük;O
a;O
magyar;O
embereknek;O
.;O
;
A;O
Lehet;I-ORG
Más;I-ORG
a;I-ORG
Politika;I-ORG
tehát;O
felhívja;O
a;O
magyar;O
pártokat;O
arra;O
,;O
hogy;O
hozzák;O
meg;O
teljesen;O
világosan;O
a;O
döntést;O
.;O
;
Azt;O
látjuk;O
,;O
hogy;O
a;O
Jobbik;I-ORG
ismét;O
bebizonyította;O
,;O
hogy;O
egy;O
virtigli;O
XX;O
.;O
századi;O
párt;O
,;O
az;O
álláspontja;O
kevésbé;O
értelmezhetõ;O
,;O
és;O
nincs;O
túl;O
sok;O
illúziónk;O
azzal;O
kapcsolatban;O
,;O
hogy;O
sokaknak;O
csak;O
az;O
fáj;O
,;O
hogy;O
a;O
konc;O
nem;O
az;O
övék;O
,;O
hanem;O
a;O
Fidesz;I-ORG
tudja;O
ezt;O
az;O
egész;O
bizniszt;O
bezsebelni;O
.;O
;
Csakhogy;O
ez;O
most;O
itt;O
egy;O
olyan;O
helyzet;O
,;O
ahol;O
csak;O
az;O
tud;O
tisztán;O
beszélni;O
,;O
aki;O
tisztán;O
tud;O
játszani;O
.;O
;
Hányan;O
tudnak;O
tisztán;O
játszani;O
a;O
mai;O
magyar;O
politikában;O
?;O
;
Hányan;O
tudnak;O
tisztán;O
az;O
emberek;O
szemébe;O
nézni;O
és;O
azt;O
mondani;O
,;O
hogy;O
a;O
mi;O
álláspontunk;O
teljesen;O
világos;O
:;O
ki;O
akarjuk;O
vezetni;O
Magyarországot;I-LOC
a;O
XX;I-ORG
.;O
századból;O
,;O
a;O
Fidesz;I-ORG
uralma;O
alól;O
,;O
nem;O
akarunk;O
nukleáris;O
energiát;O
,;O
megújuló;O
energiákat;O
akarunk;O
,;O
és;O
az;O
egész;O
országot;O
meg;O
akarjuk;O
újítani;O
.;O
;
Ugyanis;O
a;O
magyar;O
emberek;O
többsége;O
teljesen;O
egyértelmûen;O
a;O
megújulók;O
mellett;O
tette;O
le;O
a;O
voksot;O
.;O
;
Világosan;O
látjuk;O
azokból;O
a;O
kutatásokból;O
,;O
amelyeket;O
nem;O
az;O
atompártok;O
és;O
az;O
atomlobbi;O
finanszíroz;O
,;O
hogy;O
a;O
magyar;O
emberek;O
kétharmada;O
megújuló;O
energiát;O
akar;O
.;O
;
Legyen;O
tehát;O
végre;O
döntési;O
lehetõségük;O
a;O
magyar;O
embereknek;O
!;O
;
Tisztelt;O
Kormány;O
!;O
;
Önök;O
csalással;O
akarják;O
keresztülverni;O
az;O
érdekeiket;O
egy;O
egyenlõtlenné;O
tett;O
pályán;O
.;O
;
A;O
népszavazás;O
tudja;O
ezt;O
a;O
pályát;O
kiegyenlíteni;O
.;O
;
(;O
Taps;O
az;O
LMP;I-ORG
soraiban;O
.;O
);O
;
HARRACH;I-PER
PÉTER;I-PER
(;O
KDNP;I-ORG
);O
:;O
Tisztelt;I-ORG
Elnök;I-ORG
Úr;I-ORG
!;I-ORG
;
Tisztelt;I-PER
Ház;I-PER
!;O
;
Március;O
1-jén;O
véget;O
ért;O
a;O
téli;O
kilakoltatási;O
moratórium;O
,;O
és;O
ez;O
arra;O
késztet;O
minket;O
,;O
hogy;O
egy;O
törvénymódosítást;O
nyújtsunk;O
be;O
.;O
;
Errõl;O
eszembe;O
jut;O
nekem;O
egy;O
nagyon;O
