"","year","country","continent","pop"
"124",1967,"Benin","Africa",2427334
"125",1972,"Benin","Africa",2761407
"126",1977,"Benin","Africa",3168267
"127",1982,"Benin","Africa",3641603
"128",1987,"Benin","Africa",4243788
"129",1992,"Benin","Africa",4981671
"130",1997,"Benin","Africa",6066080
"131",2002,"Benin","Africa",7026113
"132",2007,"Benin","Africa",8078314
"133",1952,"Bolivia","Americas",2883315
"134",1957,"Bolivia","Americas",3211738
"135",1962,"Bolivia","Americas",3593918
"136",1967,"Bolivia","Americas",4040665
"137",1972,"Bolivia","Americas",4565872
"138",1977,"Bolivia","Americas",5079716
"139",1982,"Bolivia","Americas",5642224
"140",1987,"Bolivia","Americas",6156369
"141",1992,"Bolivia","Americas",6893451
"142",1997,"Bolivia","Americas",7693188
"143",2002,"Bolivia","Americas",8445134
"144",2007,"Bolivia","Americas",9119152
"145",1952,"Bosnia and Herzegovina","Europe",2791000
"146",1957,"Bosnia and Herzegovina","Europe",3076000
"147",1962,"Bosnia and Herzegovina","Europe",3349000
"148",1967,"Bosnia and Herzegovina","Europe",3585000
"149",1972,"Bosnia and Herzegovina","Europe",3819000
"150",1977,"Bosnia and Herzegovina","Europe",4086000
"151",1982,"Bosnia and Herzegovina","Europe",4172693
"152",1987,"Bosnia and Herzegovina","Europe",4338977
"153",1992,"Bosnia and Herzegovina","Europe",4256013
"154",1997,"Bosnia and Herzegovina","Europe",3607000
"155",2002,"Bosnia and Herzegovina","Europe",4165416
"156",2007,"Bosnia and Herzegovina","Europe",4552198
"157",1952,"Botswana","Africa",442308
"158",1957,"Botswana","Africa",474639
"159",1962,"Botswana","Africa",512764
"160",1967,"Botswana","Africa",553541
"161",1972,"Botswana","Africa",619351
"162",1977,"Botswana","Africa",781472
"163",1982,"Botswana","Africa",970347
"164",1987,"Botswana","Africa",1151184
"165",1992,"Botswana","Africa",1342614
"166",1997,"Botswana","Africa",1536536
"167",2002,"Botswana","Africa",1630347
"168",2007,"Botswana","Africa",1639131
"169",1952,"Brazil","Americas",56602560
"170",1957,"Brazil","Americas",65551171
"171",1962,"Brazil","Americas",76039390
"172",1967,"Brazil","Americas",88049823
"173",1972,"Brazil","Americas",100840058
"174",1977,"Brazil","Americas",114313951
"175",1982,"Brazil","Americas",128962939
"176",1987,"Brazil","Americas",142938076
"177",1992,"Brazil","Americas",155975974
"178",1997,"Brazil","Americas",168546719
"179",2002,"Brazil","Americas",179914212
"180",2007,"Brazil","Americas",190010647
"181",1952,"Bulgaria","Europe",7274900
"182",1957,"Bulgaria","Europe",7651254
"183",1962,"Bulgaria","Europe",8012946
"184",1967,"Bulgaria","Europe",8310226
"185",1972,"Bulgaria","Europe",8576200
"186",1977,"Bulgaria","Europe",8797022
"187",1982,"Bulgaria","Europe",8892098
"188",1987,"Bulgaria","Europe",8971958
"189",1992,"Bulgaria","Europe",8658506
"190",1997,"Bulgaria","Europe",8066057
"191",2002,"Bulgaria","Europe",7661799
"192",2007,"Bulgaria","Europe",7322858
"193",1952,"Burkina Faso","Africa",4469979
"194",1957,"Burkina Faso","Africa",4713416
"195",1962,"Burkina Faso","Africa",4919632
"196",1967,"Burkina Faso","Africa",5127935
"197",1972,"Burkina Faso","Africa",5433886
"198",1977,"Burkina Faso","Africa",5889574
"199",1982,"Burkina Faso","Africa",6634596
"200",1987,"Burkina Faso","Africa",7586551
"201",1992,"Burkina Faso","Africa",8878303
"202",1997,"Burkina Faso","Africa",10352843
"203",2002,"Burkina Faso","Africa",12251209
"204",2007,"Burkina Faso","Africa",14326203
"205",1952,"Burundi","Africa",2445618
"206",1957,"Burundi","Africa",2667518
"207",1962,"Burundi","Africa",2961915
"208",1967,"Burundi","Africa",3330989
"209",1972,"Burundi","Africa",3529983
"210",1977,"Burundi","Africa",3834415
"211",1982,"Burundi","Africa",4580410
"212",1987,"Burundi","Africa",5126023
"213",1992,"Burundi","Africa",5809236
"214",1997,"Burundi","Africa",6121610
"215",2002,"Burundi","Africa",7021078
"216",2007,"Burundi","Africa",8390505
"217",1952,"Cambodia","Asia",4693836
"218",1957,"Cambodia","Asia",5322536
"219",1962,"Cambodia","Asia",6083619
"220",1967,"Cambodia","Asia",6960067
"221",1972,"Cambodia","Asia",7450606
"222",1977,"Cambodia","Asia",6978607
"223",1982,"Cambodia","Asia",7272485
"224",1987,"Cambodia","Asia",8371791
"225",1992,"Cambodia","Asia",10150094
"226",1997,"Cambodia","Asia",11782962
"227",2002,"Cambodia","Asia",12926707
"228",2007,"Cambodia","Asia",14131858
"229",1952,"Cameroon","Africa",5009067
"230",1957,"Cameroon","Africa",5359923
"231",1962,"Cameroon","Africa",5793633
"232",1967,"Cameroon","Africa",6335506
"233",1972,"Cameroon","Africa",7021028
"234",1977,"Cameroon","Africa",7959865
"235",1982,"Cameroon","Africa",9250831
"236",1987,"Cameroon","Africa",10780667
"237",1992,"Cameroon","Africa",12467171
"238",1997,"Cameroon","Africa",14195809
"239",2002,"Cameroon","Africa",15929988
"240",2007,"Cameroon","Africa",17696293
"241",1952,"Canada","Americas",14785584
"242",1957,"Canada","Americas",17010154
"243",1962,"Canada","Americas",18985849
"244",1967,"Canada","Americas",20819767
"245",1972,"Canada","Americas",22284500
"246",1977,"Canada","Americas",23796400
"247",1982,"Canada","Americas",25201900
"248",1987,"Canada","Americas",26549700
"249",1992,"Canada","Americas",28523502
"250",1997,"Canada","Americas",30305843
"251",2002,"Canada","Americas",31902268
"252",2007,"Canada","Americas",33390141
"253",1952,"Central African Republic","Africa",1291695
"254",1957,"Central African Republic","Africa",1392284
"255",1962,"Central African Republic","Africa",1523478
"256",1967,"Central African Republic","Africa",1733638
"257",1972,"Central African Republic","Africa",1927260
"258",1977,"Central African Republic","Africa",2167533
"259",1982,"Central African Republic","Africa",2476971
"260",1987,"Central African Republic","Africa",2840009
"261",1992,"Central African Republic","Africa",3265124
"262",1997,"Central African Republic","Africa",3696513
"263",2002,"Central African Republic","Africa",4048013
"264",2007,"Central African Republic","Africa",4369038
"265",1952,"Chad","Africa",2682462
"266",1957,"Chad","Africa",2894855
"267",1962,"Chad","Africa",3150417
"268",1967,"Chad","Africa",3495967
"269",1972,"Chad","Africa",3899068
"270",1977,"Chad","Africa",4388260
"271",1982,"Chad","Africa",4875118
"272",1987,"Chad","Africa",5498955
"273",1992,"Chad","Africa",6429417
"274",1997,"Chad","Africa",7562011
"275",2002,"Chad","Africa",8835739
"276",2007,"Chad","Africa",10238807
"277",1952,"Chile","Americas",6377619
"278",1957,"Chile","Americas",7048426
"279",1962,"Chile","Americas",7961258
"280",1967,"Chile","Americas",8858908
"281",1972,"Chile","Americas",9717524
"282",1977,"Chile","Americas",10599793
"283",1982,"Chile","Americas",11487112
"284",1987,"Chile","Americas",12463354
"285",1992,"Chile","Americas",13572994
"286",1997,"Chile","Americas",14599929
"287",2002,"Chile","Americas",15497046
"288",2007,"Chile","Americas",16284741
"289",1952,"China","Asia",556263527
"290",1957,"China","Asia",637408000
"291",1962,"China","Asia",665770000
"292",1967,"China","Asia",754550000
"293",1972,"China","Asia",862030000
"294",1977,"China","Asia",943455000
"295",1982,"China","Asia",1000281000
"296",1987,"China","Asia",1084035000
"297",1992,"China","Asia",1164970000
"298",1997,"China","Asia",1230075000
"299",2002,"China","Asia",1280400000
"300",2007,"China","Asia",1318683096
"301",1952,"Colombia","Americas",12350771
"302",1957,"Colombia","Americas",14485993
"303",1962,"Colombia","Americas",17009885
"304",1967,"Colombia","Americas",19764027
"305",1972,"Colombia","Americas",22542890
"306",1977,"Colombia","Americas",25094412
"307",1982,"Colombia","Americas",27764644
"308",1987,"Colombia","Americas",30964245
"309",1992,"Colombia","Americas",34202721
"310",1997,"Colombia","Americas",37657830
"311",2002,"Colombia","Americas",41008227
"312",2007,"Colombia","Americas",44227550
"313",1952,"Comoros","Africa",153936
"314",1957,"Comoros","Africa",170928
"315",1962,"Comoros","Africa",191689
"316",1967,"Comoros","Africa",217378
"317",1972,"Comoros","Africa",250027
"318",1977,"Comoros","Africa",304739
"319",1982,"Comoros","Africa",348643
"320",1987,"Comoros","Africa",395114
"321",1992,"Comoros","Africa",454429
"322",1997,"Comoros","Africa",527982
"323",2002,"Comoros","Africa",614382
"324",2007,"Comoros","Africa",710960
"325",1952,"Congo, Dem. Rep.","Africa",14100005
"326",1957,"Congo, Dem. Rep.","Africa",15577932
"327",1962,"Congo, Dem. Rep.","Africa",17486434
"328",1967,"Congo, Dem. Rep.","Africa",19941073
"329",1972,"Congo, Dem. Rep.","Africa",23007669
"330",1977,"Congo, Dem. Rep.","Africa",26480870
"331",1982,"Congo, Dem. Rep.","Africa",30646495
"332",1987,"Congo, Dem. Rep.","Africa",35481645
"333",1992,"Congo, Dem. Rep.","Africa",41672143
"334",1997,"Congo, Dem. Rep.","Africa",47798986
"335",2002,"Congo, Dem. Rep.","Africa",55379852
"336",2007,"Congo, Dem. Rep.","Africa",64606759
"337",1952,"Congo, Rep.","Africa",854885
"338",1957,"Congo, Rep.","Africa",940458
"339",1962,"Congo, Rep.","Africa",1047924
"340",1967,"Congo, Rep.","Africa",1179760
"341",1972,"Congo, Rep.","Africa",1340458
"342",1977,"Congo, Rep.","Africa",1536769
"343",1982,"Congo, Rep.","Africa",1774735
"344",1987,"Congo, Rep.","Africa",2064095
"345",1992,"Congo, Rep.","Africa",2409073
"346",1997,"Congo, Rep.","Africa",2800947
"347",2002,"Congo, Rep.","Africa",3328795
"348",2007,"Congo, Rep.","Africa",3800610
"349",1952,"Costa Rica","Americas",926317
"350",1957,"Costa Rica","Americas",1112300
"351",1962,"Costa Rica","Americas",1345187
"352",1967,"Costa Rica","Americas",1588717
"353",1972,"Costa Rica","Americas",1834796
"354",1977,"Costa Rica","Americas",2108457
"355",1982,"Costa Rica","Americas",2424367
"356",1987,"Costa Rica","Americas",2799811
"357",1992,"Costa Rica","Americas",3173216
"358",1997,"Costa Rica","Americas",3518107
"359",2002,"Costa Rica","Americas",3834934
"360",2007,"Costa Rica","Americas",4133884
"361",1952,"Cote d'Ivoire","Africa",2977019
"362",1957,"Cote d'Ivoire","Africa",3300000
"363",1962,"Cote d'Ivoire","Africa",3832408
"364",1967,"Cote d'Ivoire","Africa",4744870
"365",1972,"Cote d'Ivoire","Africa",6071696
"366",1977,"Cote d'Ivoire","Africa",7459574
"367",1982,"Cote d'Ivoire","Africa",9025951
"368",1987,"Cote d'Ivoire","Africa",10761098
"369",1992,"Cote d'Ivoire","Africa",12772596
"370",1997,"Cote d'Ivoire","Africa",14625967
"371",2002,"Cote d'Ivoire","Africa",16252726
"372",2007,"Cote d'Ivoire","Africa",18013409
"373",1952,"Croatia","Europe",3882229
"374",1957,"Croatia","Europe",3991242
"375",1962,"Croatia","Europe",4076557
"376",1967,"Croatia","Europe",4174366
"377",1972,"Croatia","Europe",4225310
"378",1977,"Croatia","Europe",4318673
"379",1982,"Croatia","Europe",4413368
"380",1987,"Croatia","Europe",4484310
"381",1992,"Croatia","Europe",4494013
"382",1997,"Croatia","Europe",4444595
"383",2002,"Croatia","Europe",4481020
"384",2007,"Croatia","Europe",4493312
"385",1952,"Cuba","Americas",6007797
"386",1957,"Cuba","Americas",6640752
"387",1962,"Cuba","Americas",7254373
"388",1967,"Cuba","Americas",8139332
"389",1972,"Cuba","Americas",8831348
"390",1977,"Cuba","Americas",9537988
"391",1982,"Cuba","Americas",9789224
"392",1987,"Cuba","Americas",10239839
"393",1992,"Cuba","Americas",10723260
"394",1997,"Cuba","Americas",10983007
"395",2002,"Cuba","Americas",11226999
"396",2007,"Cuba","Americas",11416987
"397",1952,"Czech Republic","Europe",9125183
"398",1957,"Czech Republic","Europe",9513758
"399",1962,"Czech Republic","Europe",9620282
"400",1967,"Czech Republic","Europe",9835109
"401",1972,"Czech Republic","Europe",9862158
"402",1977,"Czech Republic","Europe",10161915
"403",1982,"Czech Republic","Europe",10303704
"404",1987,"Czech Republic","Europe",10311597
"405",1992,"Czech Republic","Europe",10315702
"406",1997,"Czech Republic","Europe",10300707
"407",2002,"Czech Republic","Europe",10256295
"408",2007,"Czech Republic","Europe",10228744
"409",1952,"Denmark","Europe",4334000
"410",1957,"Denmark","Europe",4487831
"411",1962,"Denmark","Europe",4646899
"412",1967,"Denmark","Europe",4838800
"413",1972,"Denmark","Europe",4991596
"414",1977,"Denmark","Europe",5088419
"415",1982,"Denmark","Europe",5117810
"416",1987,"Denmark","Europe",5127024
"417",1992,"Denmark","Europe",5171393
"418",1997,"Denmark","Europe",5283663
"419",2002,"Denmark","Europe",5374693
"420",2007,"Denmark","Europe",5468120
"421",1952,"Djibouti","Africa",63149
"422",1957,"Djibouti","Africa",71851
"423",1962,"Djibouti","Africa",89898
"424",1967,"Djibouti","Africa",127617
"425",1972,"Djibouti","Africa",178848
"426",1977,"Djibouti","Africa",228694
"427",1982,"Djibouti","Africa",305991
"428",1987,"Djibouti","Africa",311025
"429",1992,"Djibouti","Africa",384156
"430",1997,"Djibouti","Africa",417908
"431",2002,"Djibouti","Africa",447416
"432",2007,"Djibouti","Africa",496374
"433",1952,"Dominican Republic","Americas",2491346
"434",1957,"Dominican Republic","Americas",2923186
"435",1962,"Dominican Republic","Americas",3453434
"436",1967,"Dominican Republic","Americas",4049146
"437",1972,"Dominican Republic","Americas",4671329
"438",1977,"Dominican Republic","Americas",5302800
"439",1982,"Dominican Republic","Americas",5968349
"440",1987,"Dominican Republic","Americas",6655297
"441",1992,"Dominican Republic","Americas",7351181
"442",1997,"Dominican Republic","Americas",7992357
"443",2002,"Dominican Republic","Americas",8650322
"444",2007,"Dominican Republic","Americas",9319622
"445",1952,"Ecuador","Americas",3548753
"446",1957,"Ecuador","Americas",4058385
"447",1962,"Ecuador","Americas",4681707
"448",1967,"Ecuador","Americas",5432424
"449",1972,"Ecuador","Americas",6298651
"450",1977,"Ecuador","Americas",7278866
"451",1982,"Ecuador","Americas",8365850
"452",1987,"Ecuador","Americas",9545158
"453",1992,"Ecuador","Americas",10748394
"454",1997,"Ecuador","Americas",11911819
"455",2002,"Ecuador","Americas",12921234
"456",2007,"Ecuador","Americas",13755680
"457",1952,"Egypt","Africa",22223309
"458",1957,"Egypt","Africa",25009741
"459",1962,"Egypt","Africa",28173309
"460",1967,"Egypt","Africa",31681188
"461",1972,"Egypt","Africa",34807417
"462",1977,"Egypt","Africa",38783863
"463",1982,"Egypt","Africa",45681811
"464",1987,"Egypt","Africa",52799062
"465",1992,"Egypt","Africa",59402198
"466",1997,"Egypt","Africa",66134291
"467",2002,"Egypt","Africa",73312559
"468",2007,"Egypt","Africa",80264543
"469",1952,"El Salvador","Americas",2042865
"470",1957,"El Salvador","Americas",2355805
"471",1962,"El Salvador","Americas",2747687
"472",1967,"El Salvador","Americas",3232927
"473",1972,"El Salvador","Americas",3790903
"474",1977,"El Salvador","Americas",4282586
"475",1982,"El Salvador","Americas",4474873
"476",1987,"El Salvador","Americas",4842194
"477",1992,"El Salvador","Americas",5274649
"478",1997,"El Salvador","Americas",5783439
"479",2002,"El Salvador","Americas",6353681
"480",2007,"El Salvador","Americas",6939688
"481",1952,"Equatorial Guinea","Africa",216964
"482",1957,"Equatorial Guinea","Africa",232922
"483",1962,"Equatorial Guinea","Africa",249220
"484",1967,"Equatorial Guinea","Africa",259864
"485",1972,"Equatorial Guinea","Africa",277603
"486",1977,"Equatorial Guinea","Africa",192675
"487",1982,"Equatorial Guinea","Africa",285483
"488",1987,"Equatorial Guinea","Africa",341244
"489",1992,"Equatorial Guinea","Africa",387838
"490",1997,"Equatorial Guinea","Africa",439971
"491",2002,"Equatorial Guinea","Africa",495627
"492",2007,"Equatorial Guinea","Africa",551201
"493",1952,"Eritrea","Africa",1438760
"494",1957,"Eritrea","Africa",1542611
"495",1962,"Eritrea","Africa",1666618
"496",1967,"Eritrea","Africa",1820319
"497",1972,"Eritrea","Africa",2260187
"498",1977,"Eritrea","Africa",2512642
"499",1982,"Eritrea","Africa",2637297
"500",1987,"Eritrea","Africa",2915959
"501",1992,"Eritrea","Africa",3668440
"502",1997,"Eritrea","Africa",4058319
"503",2002,"Eritrea","Africa",4414865
"504",2007,"Eritrea","Africa",4906585
"505",1952,"Ethiopia","Africa",20860941
"506",1957,"Ethiopia","Africa",22815614
"507",1962,"Ethiopia","Africa",25145372
"508",1967,"Ethiopia","Africa",27860297
"509",1972,"Ethiopia","Africa",30770372
"510",1977,"Ethiopia","Africa",34617799
"511",1982,"Ethiopia","Africa",38111756
"512",1987,"Ethiopia","Africa",42999530
"513",1992,"Ethiopia","Africa",52088559
"514",1997,"Ethiopia","Africa",59861301
"515",2002,"Ethiopia","Africa",67946797
"516",2007,"Ethiopia","Africa",76511887
"517",1952,"Finland","Europe",4090500
"518",1957,"Finland","Europe",4324000
"519",1962,"Finland","Europe",4491443
"520",1967,"Finland","Europe",4605744
"521",1972,"Finland","Europe",4639657
"522",1977,"Finland","Europe",4738902
"523",1982,"Finland","Europe",4826933
"524",1987,"Finland","Europe",4931729
"525",1992,"Finland","Europe",5041039
"526",1997,"Finland","Europe",5134406
"527",2002,"Finland","Europe",5193039
"528",2007,"Finland","Europe",5238460
"529",1952,"France","Europe",42459667
"530",1957,"France","Europe",44310863
"531",1962,"France","Europe",47124000
"532",1967,"France","Europe",49569000
"533",1972,"France","Europe",51732000
"534",1977,"France","Europe",53165019
"535",1982,"France","Europe",54433565
"536",1987,"France","Europe",55630100
"537",1992,"France","Europe",57374179
"538",1997,"France","Europe",58623428
"539",2002,"France","Europe",59925035
"540",2007,"France","Europe",61083916
"541",1952,"Gabon","Africa",420702
"542",1957,"Gabon","Africa",434904
"543",1962,"Gabon","Africa",455661
"544",1967,"Gabon","Africa",489004
"545",1972,"Gabon","Africa",537977
"546",1977,"Gabon","Africa",706367
"547",1982,"Gabon","Africa",753874
"548",1987,"Gabon","Africa",880397
"549",1992,"Gabon","Africa",985739
"550",1997,"Gabon","Africa",1126189
"551",2002,"Gabon","Africa",1299304
"552",2007,"Gabon","Africa",1454867
"553",1952,"Gambia","Africa",284320
"554",1957,"Gambia","Africa",323150
"555",1962,"Gambia","Africa",374020
"556",1967,"Gambia","Africa",439593
"557",1972,"Gambia","Africa",517101
"558",1977,"Gambia","Africa",608274
"559",1982,"Gambia","Africa",715523
"560",1987,"Gambia","Africa",848406
"561",1992,"Gambia","Africa",1025384
"562",1997,"Gambia","Africa",1235767
"563",2002,"Gambia","Africa",1457766
"564",2007,"Gambia","Africa",1688359
"565",1952,"Germany","Europe",69145952
"566",1957,"Germany","Europe",71019069
"567",1962,"Germany","Europe",73739117
"568",1967,"Germany","Europe",76368453
"569",1972,"Germany","Europe",78717088
"570",1977,"Germany","Europe",78160773
"571",1982,"Germany","Europe",78335266
"572",1987,"Germany","Europe",77718298
"573",1992,"Germany","Europe",80597764
"574",1997,"Germany","Europe",82011073
"575",2002,"Germany","Europe",82350671
"576",2007,"Germany","Europe",82400996
"577",1952,"Ghana","Africa",5581001
"578",1957,"Ghana","Africa",6391288
"579",1962,"Ghana","Africa",7355248
"580",1967,"Ghana","Africa",8490213
"581",1972,"Ghana","Africa",9354120
"582",1977,"Ghana","Africa",10538093
"583",1982,"Ghana","Africa",11400338
"584",1987,"Ghana","Africa",14168101
"585",1992,"Ghana","Africa",16278738
"586",1997,"Ghana","Africa",18418288
"587",2002,"Ghana","Africa",20550751
"588",2007,"Ghana","Africa",22873338
"589",1952,"Greece","Europe",7733250
"590",1957,"Greece","Europe",8096218
"591",1962,"Greece","Europe",8448233
"592",1967,"Greece","Europe",8716441
"593",1972,"Greece","Europe",8888628
"594",1977,"Greece","Europe",9308479
"595",1982,"Greece","Europe",9786480
"596",1987,"Greece","Europe",9974490
"597",1992,"Greece","Europe",10325429
"598",1997,"Greece","Europe",10502372
"599",2002,"Greece","Europe",10603863
"600",2007,"Greece","Europe",10706290
"601",1952,"Guatemala","Americas",3146381
"602",1957,"Guatemala","Americas",3640876
"603",1962,"Guatemala","Americas",4208858
"604",1967,"Guatemala","Americas",4690773
"605",1972,"Guatemala","Americas",5149581
"606",1977,"Guatemala","Americas",5703430
"607",1982,"Guatemala","Americas",6395630
"608",1987,"Guatemala","Americas",7326406
"609",1992,"Guatemala","Americas",8486949
"610",1997,"Guatemala","Americas",9803875
"611",2002,"Guatemala","Americas",11178650
"612",2007,"Guatemala","Americas",12572928
"613",1952,"Guinea","Africa",2664249
"614",1957,"Guinea","Africa",2876726
"615",1962,"Guinea","Africa",3140003
"616",1967,"Guinea","Africa",3451418
"617",1972,"Guinea","Africa",3811387
"618",1977,"Guinea","Africa",4227026
"619",1982,"Guinea","Africa",4710497
"620",1987,"Guinea","Africa",5650262
"621",1992,"Guinea","Africa",6990574
"622",1997,"Guinea","Africa",8048834
"623",2002,"Guinea","Africa",8807818
"624",2007,"Guinea","Africa",9947814
"625",1952,"Guinea-Bissau","Africa",580653
"626",1957,"Guinea-Bissau","Africa",601095
"627",1962,"Guinea-Bissau","Africa",627820
"628",1967,"Guinea-Bissau","Africa",601287
"629",1972,"Guinea-Bissau","Africa",625361
"630",1977,"Guinea-Bissau","Africa",745228
"631",1982,"Guinea-Bissau","Africa",825987
"632",1987,"Guinea-Bissau","Africa",927524
"633",1992,"Guinea-Bissau","Africa",1050938
"634",1997,"Guinea-Bissau","Africa",1193708
"635",2002,"Guinea-Bissau","Africa",1332459
"636",2007,"Guinea-Bissau","Africa",1472041
"637",1952,"Haiti","Americas",3201488
"638",1957,"Haiti","Americas",3507701
"639",1962,"Haiti","Americas",3880130
"640",1967,"Haiti","Americas",4318137
"641",1972,"Haiti","Americas",4698301
"642",1977,"Haiti","Americas",4908554
"643",1982,"Haiti","Americas",5198399
"644",1987,"Haiti","Americas",5756203
"645",1992,"Haiti","Americas",6326682
"646",1997,"Haiti","Americas",6913545
"647",2002,"Haiti","Americas",7607651
"648",2007,"Haiti","Americas",8502814
"649",1952,"Honduras","Americas",1517453
"650",1957,"Honduras","Americas",1770390
"651",1962,"Honduras","Americas",2090162
"652",1967,"Honduras","Americas",2500689
"653",1972,"Honduras","Americas",2965146
"654",1977,"Honduras","Americas",3055235
"655",1982,"Honduras","Americas",3669448
"656",1987,"Honduras","Americas",4372203
"657",1992,"Honduras","Americas",5077347
"658",1997,"Honduras","Americas",5867957
"659",2002,"Honduras","Americas",6677328
"660",2007,"Honduras","Americas",7483763
"661",1952,"Hong Kong, China","Asia",2125900
"662",1957,"Hong Kong, China","Asia",2736300
"663",1962,"Hong Kong, China","Asia",3305200
"664",1967,"Hong Kong, China","Asia",3722800
"665",1972,"Hong Kong, China","Asia",4115700
"666",1977,"Hong Kong, China","Asia",4583700
"667",1982,"Hong Kong, China","Asia",5264500
"668",1987,"Hong Kong, China","Asia",5584510
"669",1992,"Hong Kong, China","Asia",5829696
"670",1997,"Hong Kong, China","Asia",6495918
